"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412676","2011-11","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","45.4","1,7","11","1,7","5","1,7","0","1,7","0","1,7","3","1,7","0","1,7","20","1,7","0","1,7","20111128",",1,7","20111126",",1,7","20111121","+,1,7","-0.6","1,7,28,","17.3","1,,7,26,","30.6","1,7,21,+","109.8","2,,,7","","","  22.8","1,,,K,3,2","100.0","1,7","  27.8","1,,,K,3,2","  11.1","1,,,K,3,2","  12.8","1,,,K,3,2","  17.5","1,,,K,3,2","  22.0","1,,,K,3,2","48.0","1,,,7","16.45","1,7","23.68","1,,,7","9.22","1,,,7","3129","1,,,7"
"USC00412676","2011-12","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","4.4","3,7","9","2,7","3","2,7","1","2,7","0","3,7","2","3,7","0","2,7","7","2,7","0","2,7","20111208",",3,7","20111222",",2,7","20111216",",2,7","-4.4","3,7,08,","45.5","2,,7,22,","27.2","2,7,16,","","","","","  18.3","3,,,K,3,2","198.3","2,7","  23.3","3,,,K,3,2","   9.4","3,,,K,3,2","  11.1","3,,,K,3,2","  13.0","3,,,K,3,2","  15.9","3,,,K,3,2","71.2","2,,,7","11.41","3,7","16.24","2,,,7","6.57","3,,,7","3657","4,,,7"
"USC00412676","2012-01","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","2.7","7","2.7",",7","6",",7","5",",7","3",",7","0",",7","3",",7","0",",7","15",",7","0",",7","20120113",",,7","20120109",",,7","20120123","+,,7","-1.1",",7,13,","75.7",",,7,09,","26.1",",7,23,+","67.0",",,,7","","","  18.3",",,,7,3,2","166.0",",7","  21.7",",,,7,3,2","  10.0",",,,7,3,2","  11.7",",,,7,3,2","  13.7",",,,7,3,2","  17.4",",,,7,3,2","171.0",",,,7","13.07",",7","19.79",",,,7","6.35",",,,7","2837",",,,7"
"USC00412676","2012-02","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","17.2","7","14.5",",7","16",",7","6",",7","1",",7","0",",7","0",",7","0",",7","11",",7","0",",7","20120213","+,,7","20120218",",,7","20120224",",,7","1.7",",7,13,+","38.1",",,7,18,","28.9",",7,24,","64.0","1,,,7","","","  18.3",",,,7,3,2","143.9",",7","  23.9",",,,7,3,2","   9.4",",,,7,3,2","   9.4",",,,7,3,2","  13.8",",,,7,3,2","  18.0",",,,7,3,2","97.6",",,,7","13.87",",7","18.36",",,,7","9.38",",,,7","3333",",,,7"
"USC00412676","2012-03","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","77.1","7","59.9","1,7","11",",7","5",",7","1",",7","0","1,7","0","1,7","0","1,7","25","1,7","0","1,7","20120304",",1,7","20120320",",,7","20120331","+,1,7","3.9","1,7,04,","41.1",",,7,20,","28.3","1,7,31,+","105.1",",,,7","","","  22.2",",,,K,3,2","36.6","1,7","  31.7",",,,K,3,2","  13.9",",,,K,3,2","  14.4",",,,K,3,2","  18.6",",,,K,3,2","  24.9",",,,K,3,2","88.5",",,,7","19.11","1,7","24.30","1,,,7","13.92","1,,,7","2713",",,,7"
"USC00412676","2012-04","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","191.6","7","114.5",",7","5",",7","2",",7","0",",7","0",",7","0",",7","0",",7","30",",7","0",",7","20120424","+,,7","20120402",",,7","20120430","+,,7","10.0",",7,24,+","7.6",",,7,02,","30.6",",7,30,+","177.3",",,,7","","","  26.7",",,,K,3,2","1.9",",7","  35.6",",,,K,3,2","  17.8",",,,K,3,2","  24.4",",,,K,3,2","  22.6",",,,K,3,2","  31.8",",,,K,3,2","16.0",",,,7","22.08",",7","28.35",",,,7","15.82",",,,7","2460",",,,7"
"USC00412676","2012-05","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","393.1","7","201.5",",7","8",",7","5",",7","0",",7","0",",7","0",",7","0",",7","31",",7","15",",7","20120516",",,7","20120512",",,7","20120531","+,,7","15.0",",7,16,","21.6",",,7,12,","34.4",",7,31,+","205.7",",,,7","","","  29.4","1,,,K,3,2","0.0",",7","  40.0",",,,K,3,2","  21.1","1,,,K,3,2","  23.3",",,,K,3,2","  25.4","1,,,K,3,2","  34.5",",,,K,3,2","69.4",",,,7","24.83",",7","30.77",",,,7","18.89",",,,7","2246",",,,7"
"USC00412676","2012-06","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","665.4","7","272.3","2,7","7","2,7","3","2,7","0","2,7","0","2,7","0","2,7","0","2,7","28","2,7","25","2,7","20120603",",2,7","20120608",",2,7","20120627",",2,7","16.7","2,7,03,","10.9","2,,7,08,","40.6","2,7,27,","216.2","2,,,7","","","  31.7","2,,,K,3,2","0.0","2,7","  42.8","3,,,K,3,2","  25.0","2,,,K,3,2","  30.6","3,,,K,3,2","  28.7","2,,,K,3,2","  38.6","3,,,K,3,2","30.0","2,,,7","28.06","2,7","34.55","2,,,7","21.56","2,,,7","1955","3,,,7"
"USC00412676","2012-07","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","950.7","7","285.3","1,7","15","1,7","9","1,7","2","1,7","0","1,7","0","1,7","0","1,7","30","1,7","23","1,7","20120713",",1,7","20120712",",1,7","20120710",",1,7","20.6","1,7,13,","43.9","1,,7,12,","36.1","1,7,10,","156.2","2,,,7","0.0","7","  31.7","1,,,K,3,2","0.0","1,7","  42.8","1,,,K,3,2","  26.1","1,,,K,3,2","  28.9","1,,,K,3,2","  28.5","1,,,K,3,2","  37.3","1,,,K,3,2","142.9","1,,,7","27.84","1,7","33.00","1,,,7","22.68","1,,,7","1293","2,,,7"
"USC00412676","2012-08","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1284.4","7","333.7",",7","3",",7","1",",7","0",",7","0",",7","0",",7","0",",7","31",",7","29",",7","20120821",",,7","20120819",",,7","20120831",",,7","19.4",",7,21,","17.3",",,7,19,","38.3",",7,31,","237.3",",,,7","0.0","7","  32.8",",,,K,3,2","0.0",",7","  43.3",",,,K,3,2","  27.2",",,,K,3,2","  33.9",",,,K,3,2","  30.3",",,,K,3,2","  40.0",",,,K,3,2","18.6",",,,7","29.10",",7","35.44",",,,7","22.76",",,,7","1823",",,,7"
"USC00412676","2012-09","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1515.8","7","231.4",",7","6",",7","5",",7","2",",7","0",",7","0",",7","0",",7","30",",7","19",",7","20120920",",,7","20120930",",,7","20120907","+,,7","14.4",",7,20,","38.4",",,7,30,","38.3",",7,07,+","176.5",",,,7","0.0","7","  31.7",",,,K,3,2","0.0",",7","  42.2",",,,K,3,2","  22.8",",,,K,3,2","  26.7",",,,K,3,2","  27.2",",,,K,3,2","  35.6",",,,K,3,2","99.6",",,,7","26.05",",7","32.87",",,,7","19.23",",,,7","1986",",,,7"
"USC00412676","2012-10","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1600.9","7","85.1","2,7","4","2,7","3","2,7","1","2,7","0","2,7","0","2,7","0","2,7","24","2,7","0","2,7","20121030","+,2,7","20121015",",2,7","20121026","+,2,7","3.3","2,7,30,+","44.7","2,,7,15,","31.7","2,7,26,+","116.2","2,,,7","40.3","7","  23.9","2,,,K,3,2","40.3","2,7","  32.8","2,,,K,3,2","  16.7","2,,,K,3,2","  20.6","2,,,K,3,2","  20.8","2,,,K,3,2","  27.3","2,,,K,3,2","65.8","2,,,7","19.88","2,7","26.79","2,,,7","12.97","2,,,7","2284","2,,,7"
"USC00412676","2012-11","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1632.2","7","31.3",",7","3",",7","0",",7","0",",7","0",",7","0",",7","0",",7","22",",7","0",",7","20121129",",,7","20121104",",,7","20121102",",,7","1.7",",7,29,","1.8",",,7,04,","30.6",",7,02,","108.2",",,,7","125.3","7","  21.1",",,,K,3,2","85.0",",7","  28.3",",,,K,3,2","  15.0",",,,K,3,2","  19.4",",,,K,3,2","  18.4",",,,K,3,2","  24.0",",,,K,3,2","2.4",",,,7","16.54",",7","24.62",",,,7","8.46",",,,7","2034",",,,7"
"USC00412676","2012-12","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1656.1","7","23.9",",7","9",",7","4",",7","1",",7","0",",7","9",",7","0",",7","18",",7","0",",7","20121230","+,,7","20121216",",,7","20121204","+,,7","-2.8",",7,30,+","49.3",",,7,16,","29.4",",7,04,+","63.6",",,,7","303.9","7","  20.0",",,,7,3,2","178.6",",7","  25.6",",,,7,3,2","   9.4",",,,7,3,2","   9.4",",,,7,3,2","  14.5",",,,7,3,2","  18.3",",,,7,3,2","72.4",",,,7","13.34",",7","20.50",",,,7","6.18",",,,7","2863",",,,7"
"USC00412676","2013-01","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","13.4","7","13.4","1,7","14",",7","5",",7","2",",7","0","1,7","2","1,7","0",",7","13",",7","0",",7","20130117",",1,7","20130110",",,7","20130129","+,,7","-0.6","1,7,17,","40.6",",,7,10,","26.7",",7,29,+","57.6",",,,7","516.2","7","  20.0","1,,,7,3,2","212.3",",7","  23.9",",,,7,3,2","   7.8","1,,,7,3,2","   8.9",",,,7,3,2","  12.2","1,,,7,3,2","  16.0",",,,7,3,2","100.0",",,,7","11.64","1,7","17.09",",,,7","6.19","1,,,7","3261",",,,7"
"USC00412676","2013-02","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","15.4","7","2.0",",7","10",",7","5",",7","0",",7","0",",7","0",",7","0",",7","12",",7","0",",7","20130216",",,7","20130207",",,7","20130222","+,,7","0.6",",7,16,","12.2",",,7,07,","25.0",",7,22,+","91.1",",,,7","643.3","7","  18.3",",,,7,3,2","127.1",",7","  23.3",",,,7,3,2","  11.7",",,,7,3,2","  14.4",",,,7,3,2","  14.1",",,,7,3,2","  19.6",",,,7,3,2","40.1",",,,7","13.86",",7","20.14",",,,7","7.59",",,,7","2910",",,,7"
"USC00412676","2013-03","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","34.8","7","19.4",",7","3",",7","2",",7","0",",7","0",",7","0",",7","0",",7","21",",7","1",",7","20130326","+,,7","20130320",",,7","20130319",",,7","0.6",",7,26,+","16.3",",,7,20,","32.8",",7,19,","156.0",",,,7","771.7","7","  21.1",",,,7,3,2","128.4",",7","  32.2",",,,7,3,2","  12.2",",,,7,3,2","  16.7",",,,7,3,2","  16.1",",,,7,3,2","  23.2",",,,7,3,2","29.3",",,,7","14.82",",7","22.26",",,,7","7.37",",,,7","3202",",,,7"
"USC00412676","2013-04","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","85.8","7","51.0","1,7","9","1,7","6","1,7","2","1,7","0","1,7","0","1,7","0","1,7","24","1,7","0","1,7","20130420",",1,7","20130403",",1,7","20130401",",1,7","2.8","1,7,20,","52.3","1,,7,03,","30.6","1,7,01,","130.0","2,,,7","826.4","7","  23.9","1,,,7,3,2","54.7","1,7","  31.1","1,,,7,3,2","  13.9","1,,,7,3,2","  16.7","1,,,7,3,2","  18.7","1,,,7,3,2","  26.0","1,,,7,3,2","116.7","1,,,7","18.20","1,7","24.30","1,,,7","12.11","1,,,7","3436","2,,,7"
"USC00412676","2013-05","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","249.6","7","163.8",",7","6",",7","2",",7","0",",7","0",",7","0",",7","0",",7","30",",7","5",",7","20130504",",,7","20130511",",,7","20130523",",,7","5.6",",7,04,","10.7",",,7,11,","33.3",",7,23,","196.7",",,,7","839.5","7","  27.8",",,,7,3,2","13.1",",7","  37.8",",,,7,3,2","  13.9",",,,7,3,2","  25.0",",,,7,3,2","  23.0",",,,7,3,2","  31.8",",,,7,3,2","20.2",",,,7","23.20",",7","28.64",",,,7","17.75",",,,7","3135",",,,7"
"USC00412676","2013-06","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","550.8","7","301.2",",7","5",",7","3",",7","1",",7","0",",7","0",",7","0",",7","30",",7","25",",7","20130603",",,7","20130602",",,7","20130630",",,7","18.3",",7,03,","53.8",",,7,02,","40.0",",7,30,","195.5","2,,,7","839.5","7","  32.8","3,,,7,3,2","0.0",",7","  44.4","3,,,7,3,2","  24.4","3,,,7,3,2","  30.6","3,,,7,3,2","  28.8","3,,,7,3,2","  39.5","3,,,7,3,2","66.0",",,,7","28.37",",7","34.63",",,,7","22.12",",,,7","1535","2,,,7"
"USC00412676","2013-07","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","860.2","7","309.4",",7","7",",7","6",",7","2",",7","0",",7","0",",7","0",",7","31",",7","26",",7","20130703","+,,7","20130715",",,7","20130714",",,7","18.3",",7,03,+","74.4",",,7,15,","38.3",",7,14,","199.1","1,,,7","0.0","7","  31.7","1,,,7,3,2","0.0",",7","  43.9","1,,,7,3,2","  26.1","1,,,7,3,2","  30.6","1,,,7,3,2","  29.0","1,,,7,3,2","  39.0","1,,,7,3,2","162.2",",,,7","28.31",",7","34.55",",,,7","22.07",",,,7","1747","5,,,7"
"USC00412676","2013-08","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1158.9","7","298.7","2,7","4","2,7","4","2,7","1","2,7","0","2,7","0","2,7","0","2,7","29","2,7","25","2,7","20130818",",2,7","20130817",",2,7","20130815",",2,7","17.8","2,7,18,","42.9","2,,7,17,","38.3","2,7,15,","190.6","2,,,7","0.0","7","  32.8","2,,,7,3,2","0.0","2,7","  43.9","2,,,7,3,2","  22.8","2,,,7,3,2","  31.1","2,,,7,3,2","  29.5","2,,,7,3,2","  39.8","2,,,7,3,2","65.0","2,,,7","28.63","2,7","34.95","2,,,7","22.32","2,,,7","1639","2,,,7"
"USC00412676","2013-09","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1431.8","7","272.9",",7","9",",7","7",",7","0",",7","0",",7","0",",7","0",",7","30",",7","24",",7","20130922",",,7","20130921",",,7","20130904","+,,7","15.6",",7,22,","23.6",",,7,21,","37.8",",7,04,+","185.5",",,,7","0.0","7","  31.1",",,,7,3,2","0.0",",7","  42.2",",,,7,3,2","  22.2",",,,7,3,2","  26.7",",,,7,3,2","  27.3",",,,7,3,2","  35.9",",,,7,3,2","75.4",",,,7","27.43",",7","33.74",",,,7","21.12",",,,7","2288",",,,7"
"USC00412676","2013-10","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1539.5","7","107.7",",7","13",",7","10",",7","3",",7","0",",7","0",",7","0",",7","29",",7","7",",7","20131020",",,7","20131014",",,7","20131006","+,,7","7.8",",7,20,","120.7",",,7,14,","33.3",",7,06,+","113.5","1,,,7","15.3","7","  27.2",",,,7,3,2","15.3",",7","  35.6",",,,7,3,2","  17.2",",,,7,3,2","  21.1",",,,7,3,2","  21.6",",,,7,3,2","  28.0",",,,7,3,2","284.8",",,,7","21.31",",7","27.67",",,,7","14.95",",,,7","2176","1,,,7"
"USC00412676","2013-11","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","1556.2","7","16.7",",7","14",",7","9",",7","1",",7","0",",7","1",",7","0",",7","18",",7","0",",7","20131128",",,7","20131101",",,7","20131118",",,7","-0.6",",7,28,","44.5",",,7,01,","30.0",",7,18,","76.3","1,,,7","164.7","7","  23.3","1,,,7,3,2","149.4",",7","  27.2","1,,,7,3,2","   8.9","1,,,7,3,2","  10.0","1,,,7,3,2","  15.2","1,,,7,3,2","  19.3","1,,,7,3,2","122.3",",,,7","13.91",",7","19.67",",,,7","8.15",",,,7","3239","1,,,7"
"USC00412676","2014-06","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","218.6","5,7","11","5,7","6","5,7","0","5,7","0","5,7","0","5,7","0","5,7","25","5,7","14","5,7","20140622","+,5,7","20140625",",5,7","20140613",",5,7","20.6","5,7,22,+","21.1","5,,7,25,","33.9","5,7,13,","","","","","  29.4","5,,,7,3,2","0.0","5,7","  41.1","5,,,7,3,2","  23.9","5,,,7,3,2","  27.8","5,,,7,3,2","  27.0","5,,,7,3,2","  36.0","5,,,7,3,2","74.2","5,,,7","27.08","5,7","31.84","5,,,7","22.32","5,,,7","",""
"USC00412676","2014-09","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","266.0","1,7","11","1,7","10","1,7","1","1,7","0","1,7","0","1,7","0","1,7","29","1,7","18","1,7","20140914","+,1,7","20140919",",1,7","20140911",",1,7","18.9","1,7,14,+","34.0","1,,7,19,","37.2","1,7,11,","177.3","1,,,7","","","  30.0","1,,,7,3,2","0.0","1,7","  42.2","1,,,7,3,2","  22.8","1,,,7,3,2","  26.7","1,,,7,3,2","  26.3","1,,,7,3,2","  36.1","1,,,7,3,2","132.1","1,,,7","27.51","1,7","32.84","1,,,7","22.17","1,,,7","2637","3,,,7"
"USC00412676","2014-10","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","161.2",",7","5",",7","3",",7","0",",7","0",",7","0",",7","0",",7","31",",7","6",",7","20141014",",,7","20141003",",,7","20141003",",,7","11.7",",7,14,","22.1",",,7,03,","35.0",",7,03,","223.3",",,,7","","","  26.7",",,,7,3,2","0.0",",7","  38.3",",,,7,3,2","  15.0",",,,7,3,2","  27.2",",,,7,3,2","  21.4",",,,7,3,2","  32.0",",,,7,3,2","39.7",",,,7","23.53",",7","30.14",",,,7","16.93",",,,7","2578",",,,7"
"USC00412676","2014-11","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","10.9",",7","9",",7","7",",7","1",",7","0",",7","0",",7","0",",7","15",",7","0",",7","20141118","+,,7","20141106",",,7","20141105","+,,7","0.6",",7,18,+","32.3",",,7,06,","27.8",",7,05,+","162.5",",,,7","","","  19.4",",,,7,3,2","144.7",",7","  28.3",",,,7,3,2","   5.6",",,,7,3,2","  11.1",",,,7,3,2","  11.7",",,,7,3,2","  19.5",",,,7,3,2","84.5",",,,7","13.87",",7","19.68",",,,7","8.06",",,,7","3704",",,,7"
"USC00412676","2014-12","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","","","7.8",",7","12",",7","6",",7","2",",7","0",",7","0",",7","0",",7","14",",7","0",",7","20141229",",,7","20141228",",,7","20141216","+,,7","1.1",",7,29,","29.0",",,7,28,","26.1",",7,16,+","57.8",",,,7","","","  18.9",",,,7,3,2","143.2",",7","  23.3",",,,7,3,2","   0.6",",,,7,3,2","   9.4",",,,7,3,2","  11.5",",,,7,3,2","  17.8",",,,7,3,2","93.4",",,,7","13.96",",7","18.84",",,,7","9.09",",,,7","4276",",,,7"
"USC00412676","2015-01","29.6212","-96.366","53.6","EAGLE LAKE RESCH CTR, TX US","0.0","7","0.0",",7","12",",7","4",",7","1",",7","0",",7","4",",7","0",",7","6",",7","0",",7","20150108",",,7","20150123",",,7","20150128",",,7","-3.9",",7,08,","36.1",",,7,23,","26.1",",7,28,","59.4",",,,7","","","  13.9","1,,,7,3,2","283.8",",7","  37.8",",,,7,3,2","  -1.1","1,,,7,3,2","   6.1",",,,7,3,2","   6.3","1,,,7,3,2","  13.9",",,,7,3,2","65.7",",,,7","9.18",",7","14.18",",,,7","4.17",",,,7","4060",",,,7"
