"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","ADPT","ADPT_ATTRIBUTES","ASLP","ASLP_ATTRIBUTES","ASTP","ASTP_ATTRIBUTES","AWBT","AWBT_ATTRIBUTES","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","RHAV","RHAV_ATTRIBUTES","RHMN","RHMN_ATTRIBUTES","RHMX","RHMX_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00012839","1948-11","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2307.2","0","196.4",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","","","19481130",",,0","19481130","+,,0","19481130","+,,0","","","19481108",",,0","19481129",",,0","16.1",",0,30,","0",",,0,30,+","0",",,0,30,+","7.9",",,0,08,","31.1",",0,29,","0.0","0","0.0",",0","18.2",",,,0","","","","","","","","","0",",,,0","24.88",",0","29.10",",,,0","20.66",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1948-12","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2449.2","0","142.0",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","9","","","","19481231",",,0","19481231","+,,0","19481231","+,,0","1","","19481203",",,0","19481222","+,,0","7.8",",0,31,","0",",,0,31,+","0",",,0,31,+","16.0",",,0,03,","30.0",",0,22,+","6.9","0","6.9",",0","38.4",",,,0","","","","","","","","","0",",,,0","22.69",",0","27.23",",,,0","18.15",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-01","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","104.2","0","104.2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","1","","","","19490102",",,0","19490131","+,,0","19490131","+,,0","","","19490121",",,0","19490129",",,0","3.9",",0,02,","0",",,0,31,+","0",",,0,31,+","1.5",",,0,21,","28.9",",0,29,","21.0","0","14.1",",0","2.8",",,,0","","","","","","","","","0",",,,0","21.24",",0","25.99",",,,0","16.49",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-02","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","235.4","0","131.2",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","7","","","","19490211",",,0","19490228","+,,0","19490228","+,,0","","","19490224",",,0","19490210",",,0","13.9",",0,11,","0",",,0,28,+","0",",,0,28,+","9.1",",,0,24,","30.6",",0,10,","21.0","0","0.0",",0","9.4",",,,0","","","","","","","","","0",",,,0","23.02",",0","27.60",",,,0","18.44",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-03","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","338.1","0","102.7",",0","5",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","3","","","","19490308","+,,0","19490331","+,,0","19490331","+,,0","1","","19490320",",,0","19490318","+,,0","10.0",",0,08,+","0",",,0,31,+","0",",,0,31,+","179.6",",,0,20,","29.4",",0,18,+","23.7","0","2.7",",0","183.5",",,,0","","","","","","","","","0",",,,0","21.56",",0","26.81",",,,0","16.31",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-04","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","518.0","0","179.9",",0","10",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","2","","","","19490417","+,,0","19490430","+,,0","19490430","+,,0","7","","19490406",",,0","19490405",",,0","12.2",",0,17,+","0",",,0,30,+","0",",,0,30,+","42.9",",,0,06,","31.7",",0,05,","23.7","0","0.0",",0","145.3",",,,0","","","","","","","","","0",",,,0","24.33",",0","28.73",",,,0","19.92",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-05","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","734.1","0","216.1",",0","10",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","5",",0","1","","","","19490506",",,0","19490531","+,,0","19490531","+,,0","9","","19490505",",,0","19490526",",,0","16.7",",0,06,","0",",,0,31,+","0",",T,0,31,+","43.4",",,0,05,","34.4",",0,26,","23.7","0","0.0",",0","154.2",",,,0","","","","","","","","","0",",T,,0","25.30",",0","30.07",",,,0","20.54",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-06","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","989.7","0","255.6",",0","16",",0","12",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","8",",0","2","","","","19490606","+,,0","19490630","+,,0","19490630","+,,0","15","","19490612",",,0","19490628",",,0","20.6",",0,06,+","0",",,0,30,+","0",",,0,30,+","61.5",",,0,12,","33.3",",0,28,","23.7","0","0.0",",0","263.6",",,,0","","","","","","","","","0",",,,0","26.85",",0","31.14",",,,0","22.57",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-07","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1286.7","0","297.0",",0","15",",0","12",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","20",",0","2","","","","19490718","+,,0","19490731","+,,0","19490731","+,,0","14","","19490709",",,0","19490730","+,,0","22.2",",0,18,+","0",",,0,31,+","0",",,0,31,+","17.0",",,0,09,","33.3",",0,30,+","0.0","0","0.0",",0","100.8",",,,0","","","","","","","","","0",",,,0","27.91",",0","31.86",",,,0","23.96",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-08","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1580.2","0","293.5",",0","19",",0","13",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","1","","","","19490812","+,,0","19490831","+,,0","19490831","+,,0","11","","19490823",",,0","19490818",",,0","22.8",",0,12,+","0",",,0,31,+","0",",,0,31,+","65.3",",,0,23,","33.9",",0,18,","0.0","0","0.0",",0","192.4",",,,0","","","","","","","","","0",",,,0","27.80",",0","31.78",",,,0","23.82",",,,0","","","","","","","","","","","","","","","","","",""
"USW00012839","1949-09","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1855.9","0","275.7",",0","18",",0","13",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","","","","","19490930",",,0","19490930","+,,0","19490930","+,,0","11","","19490929",",,0","19490909",",,0","21.1",",0,30,","0",",,0,30,+","0",",,0,30,+","47.5",",,0,29,","35.0",",0,09,","0.0","0","0.0",",0","230.4",",,,0","","","","","","","","","0",",,,0","27.52",",0","31.37",",,,0","23.67",",,,0","","","","","","","","","180","3,X","","","","","","","15.2","3,X"
"USW00012839","1949-10","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2096.6","0","240.7",",0","14",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","19491023","+,,0","19491031","+,,0","19491031","+,,0","4","","19491012",",,0","19491008","+,,0","20.0",",0,23,+","0",",,0,31,+","0",",,0,31,+","47.5",",,0,12,","31.1",",0,08,+","0.0","0","0.0",",0","181.9",",,,0","","","","","","","","","0",",,,0","26.10",",0","29.61",",,,0","22.59",",,,0","","","","","","","","","45",",X","","","","","","","16.5",",X"
"USW00012839","1949-11","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2175.1","0","78.5",",0","8",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","6","","","","19491127",",,0","19491130","+,,0","19491130","+,,0","","","19491114",",,0","19491110",",,0","5.6",",0,27,","0",",,0,30,+","0",",,0,30,+","25.9",",,0,14,","29.4",",0,10,","17.5","0","17.5",",0","31.4",",,,0","","","","","","","","","0",",,,0","20.37",",0","25.12",",,,0","15.61",",,,0","","","","","","","","","360",",X","","","","","","","15.6",",X"
"USW00012839","1949-12","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2292.2","0","117.1",",0","14",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","19491206","+,,0","19491231","+,,0","19491231","+,,0","","","19491228",",,0","19491223","+,,0","12.8",",0,06,+","0",",,0,31,+","0",",,0,31,+","17.5",",,0,28,","27.2",",0,23,+","17.5","0","0.0",",0","83.9",",,,0","","","","","","","","","0",",,,0","22.11",",0","25.73",",,,0","18.50",",,,0","","","","","","","","","113",",X","","","","","","","17.4",",X"
"USW00012839","1950-01","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","139.3","0","139.3",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","19500128",",,0","19500131","+,,0","19500131","+,,0","","","19500108",",,0","19500128","+,,0","16.1",",0,28,","0",",,0,31,+","0",",,0,31,+","10.7",",,0,08,","26.7",",0,28,+","17.5","0","0.0",",0","12.8",",,,0","","","","","","","","","0",",,,0","22.83",",0","26.05",",,,0","19.60",",,,0","","","","","","","","","45",",X","","","","","","","17.0",",X"
"USW00012839","1950-02","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","223.8","0","84.5",",0","4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","4","","","","19500218","+,,0","19500228","+,,0","19500228","+,,0","","","19500223",",,0","19500223",",,0","7.8",",0,18,+","0",",,0,28,+","0",",,0,28,+","26.2",",,0,23,","29.4",",0,23,","25.9","0","8.4",",0","47.0",",,,0","","","","","","","","","0",",,,0","21.05",",0","25.99",",,,0","16.11",",,,0","","","","","","","","","135",",X","","","","","","","13.9",",X"
"USW00012839","1950-03","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","345.8","0","122.0",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","3","","","","19500331",",,0","19500331","+,,0","19500331","+,,0","","","19500318",",,0","19500329",",,0","6.7",",0,31,","0",",,0,31,+","0",",,0,31,+","9.1",",,0,18,","31.7",",0,29,","33.4","0","7.5",",0","16.1",",,,0","","","","","","","","","0",",,,0","22.03",",0","27.03",",,,0","17.03",",,,0","","","","","","","","","158",",X","","","","","","","17.0",",X"
"USW00012839","1950-04","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","449.5","0","103.7",",0","3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","5","","","","19500407",",,0","19500430","+,,0","19500430","+,,0","2","","19500405",",,0","19500427",",,0","5.6",",0,07,","0",",,0,30,+","0",",,0,30,+","59.9",",,0,05,","30.6",",0,27,","47.8","0","14.4",",0","65.2",",,,0","","","","","","","","","0",",,,0","21.31",",0","26.58",",,,0","16.03",",,,0","","","","","","","","","338",",X","","","","","","","17.4",",X"
"USW00012839","1950-05","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","677.4","0","227.9",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","","","","","19500518",",,0","19500531","+,,0","19500531",",,0","7","","19500524",",,0","19500527",",,0","16.7",",0,18,","0",",,0,31,+","0",",T,0,31,","33.8",",,0,24,","32.8",",0,27,","47.8","0","0.0",",0","83.2",",,,0","","","","","","","","","0",",T,,0","25.68",",0","29.81",",,,0","21.55",",,,0","","","","","","","","","225",",X","","","","","","","21.0",",X"
"USW00012839","1950-06","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","954.8","0","277.4",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","14",",0","1","","","","19500615",",,0","19500630","+,,0","19500630","+,,0","10","","19500601",",,0","19500627",",,0","20.0",",0,15,","0",",,0,30,+","0",",,0,30,+","42.7",",,0,01,","33.9",",0,27,","47.8","0","0.0",",0","97.1",",,,0","","","","","","","","","0",",,,0","27.58",",0","31.88",",,,0","23.28",",,,0","","","","","","","","","225",",X","","","","","","","14.3",",X"
"USW00012839","1950-07","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1236.6","0","281.8",",0","18",",0","13",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","19500710",",,0","19500731","+,,0","19500731","+,,0","14","","19500702",",,0","19500731",",,0","20.6",",0,10,","0",",,0,31,+","0",",,0,31,+","38.9",",,0,02,","34.4",",0,31,","0.0","0","0.0",",0","203.0",",,,0","","","","","","","","","0",",,,0","27.42",",0","31.36",",,,0","23.48",",,,0","","","","","","","","","113",",X","","","","","","","16.5",",X"
"USW00012839","1950-08","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1524.0","0","287.4",",0","13",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","1","","","","19500808",",,0","19500831","+,,0","19500831","+,,0","11","","19500826",",,0","19500806",",,0","20.0",",0,08,","0",",,0,31,+","0",",,0,31,+","59.4",",,0,26,","33.9",",0,06,","0.0","0","0.0",",0","219.6",",,,0","","","","","","","","","0",",,,0","27.60",",0","31.61",",,,0","23.60",",,,0","","","","","","","","","158",",X","","","","","","","18.8",",X"
"USW00012839","1950-09","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","1790.5","0","266.5",",0","18",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","","","","","19500922","+,,0","19500930","+,,0","19500930","+,,0","7","","19500915",",,0","19500915",",,0","21.1",",0,22,+","0",",,0,30,+","0",",,0,30,+","23.1",",,0,15,","33.3",",0,15,","0.0","0","0.0",",0","97.9",",,,0","","","","","","","","","0",",,,0","27.22",",0","31.29",",,,0","23.14",",,,0","","","","","","","","","135",",X","","","","","","","22.4",",X"
"USW00012839","1950-10","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2029.3","0","238.8",",0","21",",0","14",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","4","","","","19501031",",,0","19501031","+,,0","19501031","+,,0","7","","19501014",",,0","19501023","+,,0","18.9",",0,31,","0",",,0,31,+","0",",,0,31,+","88.6",",,0,14,","31.7",",0,23,+","0.0","0","0.0",",0","317.1",",,,0","","","","","","","","","0",",,,0","26.04",",0","29.84",",,,0","22.23",",,,0","","","","","","","","","23",",X","","","","","","","55.9",",X"
"USW00012839","1950-11","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2127.3","0","98.0",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","1","","","","19501126",",,0","19501130","+,,0","19501130","+,,0","1","","19501124",",,0","19501103","+,,0","3.9",",0,26,","0",",,0,30,+","0",",,0,30,+","42.2",",,0,24,","28.9",",0,03,+","31.1","0","31.1",",0","67.7",",,,0","","","","","","","","","0",",,,0","20.57",",0","25.52",",,,0","15.61",",,,0","","","","","","","","","338",",X","","","","","","","13.4",",X"
"USW00012839","1950-12","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","2165.7","0","38.4",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","6","","","","19501220",",,0","19501231","+,,0","19501231","+,,0","2","","19501230",",,0","19501230","+,,0","4.4",",0,20,","0",",,0,31,+","0",",,0,31,+","13.5",",,0,30,","27.2",",0,30,+","67.1","0","36.0",",0","30.5",",,,0","","","","","","","","","0",",,,0","18.41",",0","23.71",",,,0","13.12",",,,0","","","","","","","","","360",",X","","","","","","","13.0",",X"
"USW00012839","1951-01","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","47.8","0","47.8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","1","","","","19510109",",,0","19510131","+,,0","19510131","+,,0","","","19510121",",,0","19510130",",,0","2.2",",0,09,","0",",,0,31,+","0",",,0,31,+","0.8",",,0,21,","26.7",",0,30,","112.1","0","45.0",",0","1.1",",,,0","","","","","","","","","0",",,,0","18.42",",0","23.68",",,,0","13.16",",,,0","","","","","","","","","360",",X","","","","","","","13.0",",X"
"USW00012839","1951-02","25.78805","-80.31694","1.4","MIAMI INTERNATIONAL AIRPORT, FL US","","","","","","","","","","","81.5","0","33.7",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","7","","","","19510203",",,0","19510228","+,,0","19510228","+,,0","","","19510202",",,0","19510221",",,0","3.9",",0,03,","0",",,0,28,+","0",",,0,28,+","24.1",",,0,02,","28.3",",0,21,","144.4","0","32.3",",0","53.1",",,,0","","","","","","","","","0",",,,0","18.38",",0","23.62",",,,0","13.15",",,,0","","","","","","","","","113",",X","","","","","","","16.1",",X"
