"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USW00003841","1949-06","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","201.3","0","152.2",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","7","","","","19490604","+,,0","19490630","+,,0","19490630","+,,0","8","","19490627",",,0","19490623",",,0","12.2",",0,04,+","0",",,0,30,+","0",",,0,30,+","17.8",",,0,27,","33.9",",0,23,","","","0.0",",0","67.3",",,,0","0",",,,0","23.41",",0","29.37",",,,0","17.44",",,,0","","","","","","","","","",""
"USW00003841","1949-07","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","424.2","0","222.9",",0","9",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","12",",0","6","","","","19490731",",,0","19490731","+,,0","19490731","+,,0","3","","19490713",",,0","19490708",",,0","17.8",",0,31,","0",",,0,31,+","0",",,0,31,+","63.5",",,0,13,","34.4",",0,08,","0.0","0","0.0",",0","232.7",",,,0","0",",,,0","25.52",",0","31.15",",,,0","19.90",",,,0","","","","","","","","","",""
"USW00003841","1949-08","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","560.8","0","136.6",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","2",",0","6","","","","19490830",",,0","19490831","+,,0","19490831","+,,0","7","","19490816",",,0","19490814",",,0","12.2",",0,30,","0",",,0,31,+","0",",,0,31,+","36.3",",,0,16,","32.8",",0,14,","2.8","0","2.8",",0","126.0",",,,0","0",",,,0","22.65",",0","28.03",",,,0","17.27",",,,0","","","","","","","","","",""
"USW00003841","1949-09","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","597.5","0","36.7",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","8","","","","19490930",",,0","19490930","+,,0","19490930","+,,0","1","","19490906",",,0","19490907","+,,0","2.8",",0,30,","0",",,0,30,+","0",",,0,30,+","14.2",",,0,06,","28.9",",0,07,+","54.4","0","51.6",",0","35.3",",,,0","0",",,,0","17.84",",0","24.06",",,,0","11.61",",,,0","","","","","","","","","",""
"USW00003841","1949-10","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","616.0","0","18.5",",0","17",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","11","","","","19491023","+,,0","19491031","+,,0","19491031","+,,0","4","","19491030",",,0","19491010","+,,0","3.9",",0,23,+","0",",,0,31,+","0",",,0,31,+","54.1",",,0,30,","28.3",",0,10,+","140.2","0","85.8",",0","155.2",",,,0","0",",,,0","16.16",",0","21.51",",,,0","10.82",",,,0","","","","","","","","","",""
"USW00003841","1949-11","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","616.0","0","0.0",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","1",",0","0",",0","9","","","","19491123","+,,0","19491130","+,,0","19491121",",,0","2","","19491124",",,0","19491111",",,0","-5.0",",0,23,+","0",",,0,30,+","0",",T,0,21,","12.7",",,0,24,","21.1",",0,11,","510.2","0","370.0",",0","34.8",",,,0","0",",T,,0","6.00",",0","12.65",",,,0","-0.65",",,,0","","","","","","","","","",""
"USW00003841","1949-12","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","616.0","0","0.0",",0","10",",0","6",",0","2",",0","0",",0","0",",0","0",",0","21",",0","0",",0","0",",0","0",",0","10","","","","19491224",",,0","19491231","+,,0","19491231","+,,0","","","19491213",",,0","19491230","+,,0","-8.3",",0,24,","0",",,0,31,+","0",",,0,31,+","34.3",",,0,13,","15.6",",0,30,+","973.0","0","462.8",",0","114.1",",,,0","0",",,,0","3.40",",0","8.87",",,,0","-2.07",",,,0","","","","","","","","","",""
"USW00003841","1950-01","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","23",",0","20",",0","3",",0","0",",0","0",",0","0",",0","6",",0","0",",0","1",",0","0",",0","14","","","","19500108",",,0","19500131","+,,0","19500131","+,,0","","","19500130",",,0","19500125",",,0","-5.6",",0,08,","0",",,0,31,+","0",",,0,31,+","75.4",",,0,30,","22.2",",0,25,","1290.9","0","317.9",",0","332.6",",,,0","0",",,,0","8.08",",0","12.16",",,,0","4.00",",,,0","","","","","","","","","",""
"USW00003841","1950-02","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","10",",0","8",",0","3",",0","0",",0","0",",0","0",",0","18",",0","0",",0","0",",0","0",",0","8","","","","19500227",",,0","19500224","+,,0","19500224","+,,0","2","","19500209",",,0","19500213",",,0","-8.3",",0,27,","0",",T,0,24,+","0",",T,0,24,+","40.9",",,0,09,","20.6",",0,13,","1662.3","0","371.4",",0","160.8",",,,0","0",",T,,0","5.07",",0","10.66",",,,0","-0.53",",,,0","","","","","","","","","",""
"USW00003841","1950-03","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","9",",0","8",",0","1",",0","0",",0","0",",0","0",",0","15",",0","1",",0","3",",0","0",",0","7","","","","19500309",",,0","19500331","+,,0","19500330","+,,0","2","","19500327",",,0","19500326",",,0","-7.8",",0,09,","0",",,0,31,+","0",",T,0,30,+","33.0",",,0,27,","23.3",",0,26,","2048.5","0","386.2",",0","126.5",",,,0","0",",T,,0","5.88",",0","11.86",",,,0","-0.11",",,,0","","","","","","","","","",""
"USW00003841","1950-04","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","11",",0","0",",0","2","","","","19500414",",,0","19500430","+,,0","19500405",",,0","4","","19500425",",,0","19500429","+,,0","-4.4",",0,14,","0",",,0,30,+","0",",T,0,05,","14.5",",,0,25,","26.1",",0,29,+","2281.7","0","233.2",",0","35.3",",,,0","0",",T,,0","10.56",",0","17.15",",,,0","3.97",",,,0","","","","","","","","","",""
"USW00003841","1950-05","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","14.7","0","14.7","1,0","18",",0","10",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","23","1,0","0","1,0","10","","","","19500519","+,,0","19500531","+,,0","19500531","+,,0","16","","19500512",",,0","19500505",",1,0","8.9",",0,19,+","0",",,0,31,+","0",",,0,31,+","38.6",",,0,12,","28.3","1,0,05,","2314.0","0","32.3","1,0","179.5",",,,0","0",",,,0","17.77","1,0","22.86","1,,,0","12.67",",,,0","","","","","","","","","",""
"USW00003841","1950-06","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","133.3","0","118.6",",0","10",",0","10",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","","","19500605",",,0","19500630","+,,0","19500630","+,,0","","","19500621",",,0","19500626",",,0","7.8",",0,05,","0",",,0,30,+","0",",,0,30,+","13.7",",,0,21,","33.9",",0,26,","2317.3","0","3.3",",0","81.7",",,,0","0",",,,0","22.18",",0","28.97",",,,0","15.38",",,,0","","","","","","","","","",""
"USW00003841","1950-07","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","278.8","0","145.5",",0","19",",0","17",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","1","","","","19500701",",,0","19500731","+,,0","19500731","+,,0","11","","19500726",",,0","19500703",",,0","10.6",",0,01,","0",",,0,31,+","0",",,0,31,+","32.3",",,0,26,","31.7",",0,03,","0.0","0","0.0",",0","192.6",",,,0","0",",,,0","23.03",",0","28.60",",,,0","17.45",",,,0","","","","","","","","","",""
"USW00003841","1950-08","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","404.4","0","125.6",",0","14",",0","10",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","10","","","","19500804",",,0","19500831","+,,0","19500831","+,,0","4","","19500830",",,0","19500801",",,0","11.7",",0,04,","0",",,0,31,+","0",",,0,31,+","32.3",",,0,30,","32.8",",0,01,","0.0","0","0.0",",0","151.0",",,,0","0",",,,0","22.38",",0","28.42",",,,0","16.35",",,,0","","","","","","","","","",""
"USW00003841","1950-09","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","466.7","0","62.3",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","14","","","","19500925",",,0","19500930","+,,0","19500930","+,,0","1","","19500907",",,0","19500903",",,0","6.7",",0,25,","0",",,0,30,+","0",",,0,30,+","23.9",",,0,07,","31.7",",0,03,","18.1","0","18.1",",0","79.2",",,,0","0",",,,0","19.81",",0","25.53",",,,0","14.08",",,,0","","","","","","","","","",""
"USW00003841","1950-10","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","481.5","0","14.8",",0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","13","","","","19501013",",,0","19501031","+,,0","19501031","+,,0","","","19501008",",,0","19501031",",,0","2.2",",0,13,","0",",,0,31,+","0",",,0,31,+","15.0",",,0,08,","28.3",",0,31,","73.9","0","55.8",",0","35.7",",,,0","0",",,,0","17.01",",0","23.86",",,,0","10.16",",,,0","","","","","","","","","",""
"USW00003841","1950-11","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","482.6","0","1.1",",0","10",",0","6",",0","1",",0","5",",0","1",",0","1",",0","17",",0","2",",0","2",",0","0",",0","12","","","","19501125",",,0","19501124",",,0","19501124",",,0","","","19501120",",,0","19501101",",,0","-17.8",",0,25,","178",",,0,24,","165",",,0,24,","41.1",",,0,20,","27.2",",0,01,","459.3","0","385.4",",0","93.3",",,,0","165",",,,0","5.52",",0","11.38",",,,0","-0.33",",,,0","","","","","","","","","",""
"USW00003841","1950-12","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","482.6","0","0.0",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","26",",0","2",",0","0",",0","0",",0","4","","","","19501219",",,0","19501212",",,0","19501212",",,0","1","","19501203",",,0","19501202",",,0","-11.7",",0,19,","0",",T,0,12,","15",",,0,12,","35.6",",,0,03,","18.3",",0,02,","984.4","0","525.1",",0","97.3",",,,0","15",",,,0","1.40",",0","6.54",",,,0","-3.75",",,,0","","","","","","","","","",""
"USW00003841","1951-01","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","17",",0","11",",0","2",",0","0",",0","0",",0","0",",0","21",",0","0",",0","0",",0","0",",0","4","","","","19510109",",,0","19510107",",,0","19510115","+,,0","1","","19510131",",,0","19510119",",,0","-10.0",",0,09,","0",",T,0,07,","0",",T,0,15,+","57.4",",,0,31,","19.4",",0,19,","1415.4","0","431.0",",0","180.4",",,,0","0",",T,,0","4.43",",0","9.61",",,,0","-0.75",",,,0","","","","","","","","","",""
"USW00003841","1951-02","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","10",",0","6",",0","3",",0","0",",0","0",",0","0",",0","13",",0","2",",0","3",",0","0",",0","1","","","","19510202",",,0","19510209",",,0","19510209","+,,0","2","","19510201",",,0","19510226",",,0","-15.6",",0,02,","0",",T,0,09,","0",",T,0,09,+","53.6",",,0,01,","23.3",",0,26,","1758.3","0","342.9",",0","161.3",",,,0","0",",T,,0","6.09",",0","12.46",",,,0","-0.29",",,,0","","","","","","","","","",""
"USW00003841","1951-03","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","0.0","0","0.0",",0","21",",0","15",",0","2",",0","1",",0","1",",0","0",",0","12",",0","0",",0","7",",0","0",",0","2","","","","19510322",",,0","19510314",",,0","19510314",",,0","4","","19510328",",,0","19510307","+,,0","-5.6",",0,22,","25",",,0,14,","25",",,0,14,","56.4",",,0,28,","23.9",",0,07,+","2042.7","0","284.4",",0","205.4",",,,0","25",",,,0","9.16",",0","14.78",",,,0","3.54",",,,0","","","","","","","","","",""
"USW00003841","1951-04","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","15.6","0","15.6",",0","17",",0","10",",0","1",",0","0",",0","0",",0","0",",0","3",",0","0",",0","10",",0","0",",0","3","","","","19510418","+,,0","19510430","+,,0","19510412",",,0","4","","19510415",",,0","19510430",",,0","0.0",",0,18,+","0",",,0,30,+","0",",T,0,12,","25.7",",,0,15,","29.4",",0,30,","2218.6","0","175.9",",0","123.5",",,,0","0",",T,,0","12.99",",0","19.07",",,,0","6.91",",,,0","","","","","","","","","",""
"USW00003841","1951-05","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","66.0","0","50.4",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","1",",0","4","","","","19510508",",,0","19510531","+,,0","19510531","+,,0","5","","19510502",",,0","19510522",",,0","3.9",",0,08,","0",",,0,31,+","0",",,0,31,+","9.4",",,0,02,","32.2",",0,22,","2260.5","0","41.9",",0","31.3",",,,0","0",",,,0","18.60",",0","26.49",",,,0","10.72",",,,0","","","","","","","","","",""
"USW00003841","1951-06","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","213.9","0","147.9",",0","16",",0","12",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","4","","","","19510611",",,0","19510630","+,,0","19510630","+,,0","8","","19510607",",,0","19510602",",,0","11.1",",0,11,","0",",,0,30,+","0",",,0,30,+","19.6",",,0,07,","35.0",",0,02,","2260.5","0","0.0",",0","122.7",",,,0","0",",,,0","23.26",",0","29.46",",,,0","17.06",",,,0","","","","","","","","","",""
"USW00003841","1951-07","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","421.8","0","207.9",",0","7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","9","","","","19510707",",,0","19510731","+,,0","19510731","+,,0","6","","19510713",",,0","19510721",",,0","13.3",",0,07,","0",",,0,31,+","0",",,0,31,+","48.8",",,0,13,","34.4",",0,21,","0.0","0","0.0",",0","95.1",",,,0","0",",,,0","25.04",",0","31.20",",,,0","18.88",",,,0","","","","","","","","","",""
"USW00003841","1951-08","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","634.1","0","212.3",",0","10","1,0","6","1,0","0","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","13","","","","19510825","+,,0","19510831","+,,0","19510831","+,,0","5","","19510810",",1,0","19510807",",,0","13.9",",0,25,+","0",",,0,31,+","0",",,0,31,+","10.7","1,,0,10,","36.1",",0,07,","0.0","0","0.0",",0","35.0","1,,,0","0",",,,0","25.18",",0","31.86",",,,0","18.50",",,,0","","","","","","","","","",""
"USW00003841","1951-09","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","726.1","0","92.0",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","6",",0","11","","","","19510929",",,0","19510930","+,,0","19510930","+,,0","1","","19510913",",,0","19510901",",,0","6.7",",0,29,","0",",,0,30,+","0",",,0,30,+","45.7",",,0,13,","37.2",",0,01,","10.6","0","10.6",",0","125.8",",,,0","0",",,,0","21.05",",0","27.98",",,,0","14.12",",,,0","","","","","","","","","",""
"USW00003841","1951-10","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","749.4","0","23.3",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","1",",0","19","","","","19511011",",,0","19511031","+,,0","19511031","+,,0","1","","19511031",",,0","19511006",",,0","1.7",",0,11,","0",",,0,31,+","0",",,0,31,+","31.2",",,0,31,","32.2",",0,06,","111.1","0","100.5",",0","75.1",",,,0","0",",,,0","15.84",",0","22.94",",,,0","8.75",",,,0","","","","","","","","","",""
"USW00003841","1951-11","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","749.4","0","0.0",",0","9",",0","9",",0","4",",0","0",",0","0",",0","0",",0","19",",0","0",",0","1",",0","0",",0","7","","","","19511120",",,0","19511130","+,,0","19511127","+,,0","2","","19511106",",,0","19511113",",,0","-8.3",",0,20,","0",",,0,30,+","0",",T,0,27,+","49.5",",,0,06,","22.2",",0,13,","500.5","0","389.4",",0","170.0",",,,0","0",",T,,0","5.35",",0","11.11",",,,0","-0.41",",,,0","","","","","","","","","",""
"USW00003841","1951-12","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","750.0","0","0.6",",0","13",",0","7",",0","3",",0","0",",0","0",",0","0",",0","18",",0","1",",0","2",",0","0",",0","8","","","","19511216",",,0","19511231","+,,0","19511220","+,,0","","","19511214",",,0","19511207",",,0","-13.9",",0,16,","0",",,0,31,+","0",",T,0,20,+","69.9",",,0,14,","23.3",",0,07,","903.4","0","402.9",",0","203.6",",,,0","0",",T,,0","5.35",",0","11.07",",,,0","-0.36",",,,0","","","","","","","","","",""
"USW00003841","1952-01","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","1.1","0","1.1",",0","16",",0","10",",0","1",",0","0",",0","0",",0","0",",0","12",",0","0",",0","2",",0","0",",0","5","","","","19520130",",,0","19520131","+,,0","19520129","+,,0","1","","19520109",",,0","19520101",",,0","-11.1",",0,30,","0",",,0,31,+","0",",T,0,29,+","26.7",",,0,09,","23.9",",0,01,","1261.2","0","357.8",",0","124.6",",,,0","0",",T,,0","6.83",",0","11.54",",,,0","2.11",",,,0","","","","","","","","","",""
"USW00003841","1952-02","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","1.1","0","0.0",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","1",",0","0",",0","4","","","","19520218",",,0","19520229","+,,0","19520217","+,,0","3","","19520204",",,0","19520214",",,0","-5.6",",0,18,","0",",,0,29,+","0",",T,0,17,+","7.9",",,0,04,","21.1",",0,14,","1598.9","0","337.7",",0","48.4",",,,0","0",",T,,0","6.69",",0","12.42",",,,0","0.96",",,,0","","","","","","","","","",""
"USW00003841","1952-03","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","1.1","0","0.0",",0","10",",0","7",",0","3",",0","0",",0","0",",0","0",",0","10",",0","0",",0","4",",0","0",",0","3","","","","19520308",",,0","19520331","+,,0","19520324","+,,0","2","","19520310",",,0","19520320",",,0","-4.4",",0,08,","0",",,0,31,+","0",",T,0,24,+","71.1",",,0,10,","25.0",",0,20,","1899.7","0","300.8",",0","180.0",",,,0","0",",T,,0","8.63",",0","15.06",",,,0","2.20",",,,0","","","","","","","","","",""
"USW00003841","1952-04","35.998","-84.2192","310.6","OAK RIDGE ATDD, TN US","","","6.0","0","4.9",",0","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","18",",0","0",",0","1","","","","19520408",",,0","19520430","+,,0","19520413","+,,0","2","","19520424",",,0","19520422","+,,0","-0.6",",0,08,","0",",,0,30,+","0",",T,0,13,+","22.9",",,0,24,","29.4",",0,22,+","2018.9","0","119.2",",0","41.9",",,,0","0",",T,,0","14.52",",0","21.46",",,,0","7.59",",,,0","","","","","","","","","",""
