"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYNT","DYNT_ATTRIBUTES","DYSD","DYSD_ATTRIBUTES","DYSN","DYSN_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","DYXP","DYXP_ATTRIBUTES","DYXT","DYXT_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00368361","1997-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","50.0","0","50.0",",0","13",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","21",",0","0",",0","9","","19970615","+,,0","19970630","+,,0","19970630","+,,0","3","","19970603",",,0","19970626",",,0","5.0",",0,15,+","0",",,0,30,+","0",",,0,30,+","38.1",",,0,03,","31.7",",0,26,","","","","","","","45.1",",0","","","","","","","","","","","","","","","","","","","","","134.0",",,,0","0",",,,0","18.50",",0","24.24",",,,0","12.76",",,,0","","","",""
"USC00368361","1997-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","114.1","0","64.1",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","9","","19970710","+,,0","19970731","+,,0","19970731","+,,0","2","","19970709",",,0","19970715",",,0","6.7",",0,10,+","0",",,0,31,+","0",",,0,31,+","11.4",",,0,09,","31.1",",0,15,","28.3","0","","","","","28.3",",0","","","","","","","","","","","","","","","","","","","","","28.7",",,,0","0",",,,0","19.49",",0","25.43",",,,0","13.55",",,,0","","","",""
"USC00368361","1997-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","146.6","0","32.5","1,0","15",",0","11",",0","1",",0","0","1,0","0",",0","0","1,0","0","1,0","0",",0","26",",0","0",",0","7","","19970819",",1,0","19970831","+,1,0","19970831","+,,0","2","","19970823",",,0","19970810",",,0","6.7","1,0,19,","0","1,,0,31,+","0",",,0,31,+","27.9",",,0,23,","30.0",",0,10,","67.3","0","","","","","39.0",",0","","","","","","","","","","","","","","","","","","","","","104.7",",,,0","0",",,,0","18.12","1,0","23.87",",,,0","12.36","1,,,0","","","",""
"USC00368361","1997-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","151.4","0","4.8","1,0","16",",0","8",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","18",",0","0",",0","12","","19970927",",1,0","19970930","+,,0","19970930","+,,0","1","","19970911",",,0","19970903","+,,0","0.6","1,0,27,","0",",,0,30,+","0",",,0,30,+","19.8",",,0,11,","27.2",",0,03,+","164.3","0","","","","","97.0",",0","","","","","","","","","","","","","","","","","","","","","77.8",",,,0","0",",,,0","15.15","1,0","21.37",",,,0","8.93","1,,,0","","","",""
"USC00368361","1997-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","158.3","0","6.9",",0","13",",0","8",",0","0",",0","1","2,0","1",",0","0",",0","9",",0","0",",0","9",",0","0",",0","6","","19971019","+,,0","19971023",",2,0","19971023",",,0","1","","19971001",",,0","19971008",",,0","-2.2",",0,19,+","25","2,,0,23,","51",",,0,23,","21.6",",,0,01,","27.2",",0,08,","437.1","0","","","","","272.8",",0","","","","","","","","","","","","","","","","","","","","","79.8",",,,0","51",",,,0","9.75",",0","15.55",",,,0","3.96",",,,0","","","",""
"USC00368361","1997-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","158.3","0","0.0",",0","21",",0","11",",0","0",",0","10","1,0","6",",0","0",",0","17",",0","5",",0","0",",0","0",",0","6","","19971118",",,0","19971116",",1,0","19971116",",,0","","","19971114",",,0","19971101",",,0","-11.7",",0,18,","229","1,,0,16,","178",",,0,16,","12.2",",,0,14,","18.3",",0,01,","916.0","0","","","","","478.9",",0","","","","","","","","","","","","","","","","","","","","","76.7",",,,0","464",",,,0","2.37",",0","5.69",",,,0","-0.95",",,,0","","","",""
"USC00368361","1997-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","158.3","0","0.0",",0","21",",0","11",",0","0",",0","16","4,0","6",",0","0",",0","30",",0","7",",0","0",",0","0",",0","2","","19971231",",,0","19971207",",4,0","19971207",",,0","","","19971211",",,0","19971201",",,0","-8.9",",0,31,","279","4,,0,07,","279",",,0,07,","19.8",",,0,11,","9.4",",0,01,","1497.4","0","","","","","581.4",",0","","","","","","","","","","","","","","","","","","","","","94.4",",,,0","645",",,,0","-0.42",",0","2.46",",,,0","-3.31",",,,0","","","",""
"USC00368361","1998-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","22",",0","12",",0","1",",0","16",",0","4",",0","0",",0","23",",0","13",",0","0",",0","0",",0","4","","19980101",",,0","19980101",",,0","19980120",",,0","1","","19980108",",,0","19980106",",,0","-11.1",",0,01,","152",",,0,01,","89",",,0,20,","35.8",",,0,08,","15.6",",0,06,","2061.6","0","","","","","564.2",",0","","","","","","","","","","","","","","","","","","","","","129.6",",,,0","249",",,,0","0.13",",0","3.26",",,,0","-2.99",",,,0","","","",""
"USC00368361","1998-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","10",",0","5",",0","0",",0","0",",0","0",",0","0",",0","21",",0","4",",0","0",",0","0",",0","5","","19980215",",,0","19980228","+,,0","19980213",",,0","","","19980218",",,0","19980228","+,,0","-8.3",",0,15,","0",",,0,28,+","8",",,0,13,","14.0",",,0,18,","12.2",",0,28,+","2534.2","0","","","","","472.6",",0","","","","","","","","","","","","","","","","","","","","","37.4",",,,0","8",",,,0","1.45",",0","5.23",",,,0","-2.33",",,,0","","","",""
"USC00368361","1998-03","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","2.3","0","2.3",",0","21",",0","11",",0","0",",0","13",",0","8",",0","0",",0","23",",0","9",",0","5",",0","0",",0","4","","19980316",",,0","19980315",",,0","19980315",",,0","","","19980321",",,0","19980331",",,0","-12.8",",0,16,","229",",,0,15,","178",",,0,15,","13.2",",,0,21,","26.7",",0,31,","3027.0","0","","","","","492.8",",0","","","","","","","","","","","","","","","","","","","","","72.7",",,,0","722",",,,0","2.51",",0","7.06",",,,0","-2.04",",,,0","","","",""
"USC00368361","1998-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","2.6","0","0.3",",0","16",",0","9",",0","2",",0","0",",0","0",",0","0",",0","13",",0","0",",0","3",",0","0",",0","3","","19980407","+,,0","19980430","+,,0","19980430","+,,0","1","","19980417",",,0","19980402","+,,0","-5.0",",0,07,+","0",",,0,30,+","0",",,0,30,+","33.0",",,0,17,","26.1",",0,02,+","3337.4","0","","","","","310.4",",0","","","","","","","","","","","","","","","","","","","","","153.7",",,,0","0",",,,0","8.00",",0","14.58",",,,0","1.41",",,,0","","","",""
"USC00368361","1998-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","18.7","0","16.1","1,0","10",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","18",",0","0",",0","4","","19980522",",1,0","19980531","+,,0","19980531","+,,0","3","","19980502",",,0","19980530","+,,0","1.1","1,0,22,","0",",,0,31,+","0",",,0,31,+","18.5",",,0,02,","29.4",",0,30,+","3417.9","0","","","","","80.5",",0","","","","","","","","","","","","","","","","","","","","","40.1",",,,0","0",",,,0","16.13","1,0","22.54",",,,0","9.71","1,,,0","","","",""
"USC00368361","1998-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","83.3","0","64.6",",0","17",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","1",",0","5","","19980606","+,,0","19980630","+,,0","19980630","+,,0","6","","19980630",",,0","19980626",",,0","1.7",",0,06,+","0",",,0,30,+","0",",,0,30,+","25.9",",,0,30,","32.2",",0,26,","3496.5","0","","","","","78.6",",0","","","","","","","","","","","","","","","","","","","","","91.3",",,,0","0",",,,0","17.87",",0","23.99",",,,0","11.74",",,,0","","","",""
"USC00368361","1998-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","149.9","0","66.6","1,0","8",",0","3",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","0",",0","6","","19980711",",1,0","19980731","+,,0","19980731","+,,0","","","19980723",",,0","19980721","+,,0","6.7","1,0,11,","0",",,0,31,+","0",",,0,31,+","36.3",",,0,23,","31.1",",0,21,+","14.5","0","","","","","14.5",",0","","","","","","","","","","","","","","","","","","","","","61.8",",,,0","0",",,,0","20.09","1,0","26.74",",,,0","13.44","1,,,0","","","",""
"USC00368361","1998-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","237.5","0","87.6","3,0","13",",0","8",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","30",",0","3",",0","11","","19980820",",3,0","19980831","+,,0","19980831","+,,0","7","","19980830",",,0","19980809",",,0","5.6","3,0,20,","0",",,0,31,+","0",",,0,31,+","20.1",",,0,30,","33.9",",0,09,","30.0","0","","","","","15.5",",0","","","","","","","","","","","","","","","","","","","","","99.1",",,,0","0",",,,0","20.91","3,0","27.12",",,,0","14.71","3,,,0","","","",""
"USC00368361","1998-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","274.8","0","37.3","1,0","14",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","21",",0","0",",0","10","","19980925","+,1,0","19980930","+,,0","19980930","+,,0","5","","19980909",",,0","19980907",",,0","1.7","1,0,25,+","0",",,0,30,+","0",",,0,30,+","20.6",",,0,09,","31.7",",0,07,","109.5","0","","","","","79.5",",0","","","","","","","","","","","","","","","","","","","","","67.8",",,,0","0",",,,0","16.93","1,0","23.93",",,,0","9.94","1,,,0","","","",""
"USC00368361","1998-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","275.1","0","0.3",",0","15",",0","5",",0","1",",0","","","0",",0","0",",0","3",",0","0",",0","6",",0","0",",0","4","","19981031","+,,0","","","19981031","+,,0","","","19981008",",,0","19981007",",,0","-3.3",",0,31,+","","","0",",,0,31,+","40.9",",,0,08,","23.9",",0,07,","348.3","0","","","","","238.8",",0","","","","","","","","","","","","","","","","","","","","","77.0",",,,0","0",",,,0","10.64",",0","16.64",",,,0","4.64",",,,0","","","",""
"USC00368361","1998-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","275.1","0","0.0",",0","16",",0","7",",0","0",",0","1","3,0","1",",0","0",",0","12",",0","0",",0","0",",0","0",",0","5","","19981104",",,0","19981121",",3,0","19981121",",,0","1","","19981111",",,0","19981130",",,0","-4.4",",0,04,","25","3,,0,21,","25",",,0,21,","17.3",",,0,11,","18.3",",0,30,","750.0","0","","","","","401.7",",0","","","","","","","","","","","","","","","","","","","","","61.6",",,,0","25",",,,0","4.94",",0","9.18",",,,0","0.71",",,,0","","","",""
"USC00368361","1998-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","275.1","0","0.0",",0","16",",0","9",",0","1",",0","10",",0","5",",0","0",",0","22",",0","6",",0","0",",0","0",",0","3","","19981224",",,0","19981231","+,,0","19981231",",,0","","","19981222",",,0","19981208","+,,0","-14.4",",0,24,","178",",,0,31,+","178",",,0,31,","25.4",",,0,22,","20.0",",0,08,+","1251.4","0","","","","","501.4",",0","","","","","","","","","","","","","","","","","","","","","70.1",",,,0","482",",,,0","2.16",",0","6.92",",,,0","-2.60",",,,0","","","",""
"USC00368361","1999-01","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","23",",0","14",",0","0",",0","26",",0","16",",0","2",",0","29",",0","16",",0","0",",0","0",",0","1","","19990108",",,0","19990115",",,0","19990101",",,0","1","","19990103",",,0","19990124",",,0","-20.6",",0,08,","457",",,0,15,","305",",,0,01,","18.5",",,0,03,","12.8",",0,24,","1974.7","0","","","","","723.3",",0","","","","","","","","","","","","","","","","","","","","","106.2",",,,0","1634",",,,0","-5.00",",0","-0.51",",,,0","-9.49",",,,0","","","",""
"USC00368361","1999-02","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0","1,0","14",",0","7",",0","0",",0","7",",0","4",",0","0","1,0","25","1,0","8",",0","0",",0","0",",0","1","","19990223",",1,0","19990213",",,0","19990213",",,0","","","19990228","+,,0","19990212",",,0","-12.8","1,0,23,","178",",,0,13,","203",",,0,13,","11.4",",,0,28,+","19.4",",0,12,","2492.8","0","","","","","518.1",",0","","","","","","","","","","","","","","","","","","","","","50.9",",,,0","343",",,,0","-0.91","1,0","3.69",",,,0","-5.51","1,,,0","","","",""
"USC00368361","1999-03","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.0","0","0.0",",0","10",",0","7",",0","0",",0","19",",0","8",",0","3",",0","30",",0","10",",0","0",",0","0",",0","3","","19990309","+,,0","19990307",",,0","19990307",",,0","","","19990307",",,0","19990318",",,0","-24.4",",0,09,+","305",",,0,07,","267",",,0,07,","13.7",",,0,07,","17.8",",0,18,","3110.8","0","","","","","618.0",",0","","","","","","","","","","","","","","","","","","","","","61.3",",,,0","499",",,,0","-1.60",",0","4.06",",,,0","-7.26",",,,0","","","",""
"USC00368361","1999-04","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","0.8","0","0.8","1,0","17",",0","15",",0","0",",0","0",",0","0",",0","0","1,0","9","1,0","0",",0","3",",0","0",",0","5","","19990425",",1,0","19990430","+,,0","19990430","+,,0","2","","19990410",",,0","19990404",",,0","-3.9","1,0,25,","0",",,0,30,+","0",",,0,30,+","19.3",",,0,10,","25.0",",0,04,","3397.8","0","","","","","287.0",",0","","","","","","","","","","","","","","","","","","","","","111.0",",,,0","0",",,,0","8.47","1,0","14.53",",,,0","2.41","1,,,0","","","",""
"USC00368361","1999-05","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","7.5","0","6.7",",0","11",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","8","","19990510","+,,0","19990531","+,,0","19990531","+,,0","1","","19990524",",,0","19990531",",,0","1.1",",0,10,+","0",",,0,31,+","0",",,0,31,+","19.8",",,0,24,","30.0",",0,31,","3525.2","0","","","","","127.4",",0","","","","","","","","","","","","","","","","","","","","","72.2",",,,0","0",",,,0","14.44",",0","21.85",",,,0","7.03",",,,0","","","",""
"USC00368361","1999-06","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","76.7","0","69.2","4,0","12",",0","8",",0","0",",0","0",",0","0",",0","0","4,0","0","4,0","0",",0","23",",0","0",",0","6","","19990616",",4,0","19990630","+,,0","19990630","+,,0","2","","19990628",",,0","19990627","+,,0","3.3","4,0,16,","0",",,0,30,+","0",",,0,30,+","16.5",",,0,28,","31.7",",0,27,+","3567.1","0","","","","","41.9",",0","","","","","","","","","","","","","","","","","","","","","75.0",",,,0","0",",,,0","19.27","4,0","25.51",",,,0","13.03","4,,,0","","","",""
"USC00368361","1999-07","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","200.6","0","123.9","2,0","10",",0","6",",0","1",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","31",",0","2",",0","17","","19990711",",2,0","19990731","+,,0","19990731","+,,0","7","","19990704",",,0","19990705",",,0","6.7","2,0,11,","0",",,0,31,+","0",",,0,31,+","26.4",",,0,04,","36.1",",0,05,","9.1","0","","","","","9.1",",0","","","","","","","","","","","","","","","","","","","","","72.4",",,,0","0",",,,0","22.35","2,0","28.94",",,,0","15.75","2,,,0","","","",""
"USC00368361","1999-08","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","243.9","0","43.3","1,0","15",",0","10",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","28",",0","1",",0","13","","19990816",",1,0","19990831","+,,0","19990831","+,,0","5","","19990821",",,0","19990801",",,0","7.8","1,0,16,","0",",,0,31,+","0",",,0,31,+","13.2",",,0,21,","35.0",",0,01,","37.0","0","","","","","27.9",",0","","","","","","","","","","","","","","","","","","","","","73.3",",,,0","0",",,,0","18.76","1,0","25.08",",,,0","12.44","1,,,0","","","",""
"USC00368361","1999-09","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","277.9","0","34.0",",0","8",",0","5",",0","1",",0","0",",0","0",",0","0",",0","2",",0","0",",0","22",",0","0",",0","8","","19990923","+,,0","19990930","+,,0","19990930","+,,0","3","","19990930",",,0","19990905",",,0","-1.7",",0,23,+","0",",,0,30,+","0",",,0,30,+","70.4",",,0,30,","31.1",",0,05,","127.4","0","","","","","90.4",",0","","","","","","","","","","","","","","","","","","","","","104.4",",,,0","0",",,,0","16.45",",0","23.96",",,,0","8.94",",,,0","","","",""
"USC00368361","1999-10","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","277.9","0","0.0",",0","12",",0","6",",0","2",",0","0",",0","0",",0","0",",0","5",",0","0",",0","5",",0","0",",0","2","","19991007",",,0","19991031","+,,0","19991031","+,,0","","","19991024",",,0","19991031","+,,0","-3.3",",0,07,","0",",,0,31,+","0",",,0,31,+","38.1",",,0,24,","23.9",",0,31,+","404.0","0","","","","","276.6",",0","","","","","","","","","","","","","","","","","","","","","102.8",",,,0","0",",,,0","9.41",",0","15.52",",,,0","3.30",",,,0","","","",""
"USC00368361","1999-11","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","277.9","0","0.0",",0","13",",0","8",",0","1",",0","2",",0","2",",0","0",",0","13",",0","0",",0","2",",0","0",",0","8","","19991118",",,0","19991130","+,,0","19991130","+,,0","1","","19991103",",,0","19991110","+,,0","-4.4",",0,18,","51",",,0,30,+","51",",,0,30,+","73.2",",,0,03,","22.8",",0,10,+","753.3","0","","","","","349.3",",0","","","","","","","","","","","","","","","","","","","","","128.4",",,,0","102",",,,0","6.69",",0","11.80",",,,0","1.58",",,,0","","","",""
"USC00368361","1999-12","41.8162","-80.4249","306.3","SPRINGBORO 3 WNW, PA US","","","277.9","0","0.0",",0","17",",0","11",",0","0",",0","11",",0","6",",0","0",",0","23",",0","11",",0","0",",0","0",",0","4","","19991229","+,,0","19991230","+,,0","19991224",",,0","","","19991215",",,0","19991206",",,0","-12.2",",0,29,+","254",",,0,30,+","254",",,0,24,","23.6",",,0,15,","16.7",",0,06,","1332.9","0","","","","","579.6",",0","","","","","","","","","","","","","","","","","","","","","84.8",",,,0","761",",,,0","-0.36",",0","3.49",",,,0","-4.22",",,,0","","","",""
